S. No.,DISTRICT,Actual(mm),Normal(mm),Deviation(%) from normal,Year
400,GAYA,65.6,90.6,-27.55,2023
401,GOPALGANJ,70,90.9,-22.95,2023
402,JAMUI,80,-,-,2023
403,JEHANABAD,70.2,-,-,2023
404,KAIMUR (BHABUA),70.1,97,-27.74,2023
405,KATIHAR,105.6,115.6,-8.63,2023
406,KHAGARIA,110.5,102.8,7.5,2023
407,KISHANGANJ,172.6,178.5,-3.27,2023
408,LAKHISARAI,89.7,-,-,2023
409,MADHEPURA,106,117.6,-9.91,2023
410,MADHUBANI,87.8,98.8,-11.05,2023
411,MUNGER,98.9,95.5,3.59,2023
412,MUZAFFARPUR,82.9,99.9,-17,2023
413,NALANDA,64.5,86.4,-25.33,2023
414,NAWADA,64.8,-,-,2023
415,PASHCHIM CHAMPARAN,81.2,126.3,-35.7,2023
416,PATNA,71.1,88,-19.17,2023
417,PURBA CHAMPARAN,67.3,100.2,-32.86,2023
418,PURNIA,110.3,123.8,-10.88,2023
419,ROHTAS,62.6,93.1,-32.77,2023
420,SAHARSA,86,108.5,-20.7,2023
421,SAMASTIPUR,74.9,93.3,-19.72,2023
422,SARAN (CHHAPRA),72.6,96.8,-24.97,2023
423,SHEIKHPURA,73,-,-,2023
424,SHEOHAR,63.4,-,-,2023
425,SITAMARHI,53.7,108.2,-50.39,2023
426,SIWAN,57.1,94.2,-39.39,2023
427,SUPAUL,135,108.5,24.44,2023
428,VAISHALI,78.1,-,-,2023
429,TOTAL,82.6,101.9,-18.89,2023
430,ARARIA,7,-,-,2024
431,ARWAL,18.2,-,-,2024
432,AURANGABAD,18.9,16.2,16.48,2024
433,BANKA,6.5,-,-,2024
434,BEGUSARAI,3.1,11.7,-73.44,2024
435,BHAGALPUR,4.4,12.1,-63.39,2024
436,BHOJPUR,10.5,11.9,-12.41,2024
437,BUXAR,11.9,12.5,-4.96,2024
438,DARBHANGA,3,13.7,-77.83,2024
439,GAYA,14,15.3,-8.37,2024
440,GOPALGANJ,3.6,12,-69.74,2024
441,JAMUI,7,-,-,2024
442,JEHANABAD,7.6,-,-,2024
443,KAIMUR (BHABUA),13.5,20.6,-34.46,2024
444,KATIHAR,3.7,12.1,-69.66,2024
445,KHAGARIA,4.2,11.6,-63.7,2024
446,KISHANGANJ,2.6,13.3,-80.71,2024
447,LAKHISARAI,5.5,-,-,2024
448,MADHEPURA,6.1,12.4,-50.69,2024
449,MADHUBANI,1,12,-91.5,2024
450,MUNGER,3.5,11.1,-68.74,2024
451,MUZAFFARPUR,1.7,12.3,-85.85,2024
452,NALANDA,8.1,12.9,-37.44,2024
453,NAWADA,9.2,-,-,2024
454,PASHCHIM CHAMPARAN,1.5,15,-90.07,2024
455,PATNA,9,12.4,-27.35,2024
456,PURBA CHAMPARAN,1.1,11.2,-90.56,2024
457,PURNIA,5.9,12,-51.29,2024
458,ROHTAS,14.2,17,-16.62,2024
459,SAHARSA,6.3,13.2,-52.09,2024
460,SAMASTIPUR,3.5,11.8,-70.41,2024
461,SARAN (CHHAPRA),4.2,12.3,-65.61,2024
462,SHEIKHPURA,8.1,-,-,2024
463,SHEOHAR,0.7,-,-,2024
464,SITAMARHI,1,11,-91.36,2024
465,SIWAN,4.8,12.6,-62.39,2024
466,SUPAUL,3.4,13.2,-74.11,2024
467,VAISHALI,4.1,-,-,2024
468,TOTAL,6.5,13.4,-51.49,2024
